"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"1",1961,12.4,2.7,3.2,1.6,0.7,0.1,0,0,0,0.6,6.8,20.6,"---",5.5,0.1,7.4,48.8
"2",1962,9.7,10,20,3.7,0.8,0.6,0,0,0.1,1.8,10.1,21.1,"40.3",24.4,0.6,11.9,77.7
"3",1963,25.1,27.5,8.7,2.3,0.7,0,0,0,0.2,0.3,4.2,13.2,"73.6",11.7,0,4.7,82.2
"4",1964,13.6,11,10,1.7,0.1,0.1,0,0.1,0.3,3.3,6.8,18,"37.8",11.7,0.2,10.4,64.8
"5",1965,16.4,10.7,14.3,4.2,1,0,0.1,0,0,0.9,14.5,12.7,"45.1",19.6,0.1,15.4,74.9
"6",1966,15.3,10.9,6.8,5.2,0.7,0,0,0,0,1.5,7.4,10.3,"38.9",12.7,0.1,8.9,58.2
"7",1967,12.3,6.7,3.4,3.8,2.1,0.1,0,0,0,0.5,9.4,14.1,"29.3",9.3,0.1,9.9,52.4
"8",1968,14.8,21,8.1,9.9,1.8,0,0,0,0,0.2,3.5,14.4,"49.9",19.8,0,3.8,73.9
"9",1969,9.4,19.8,15,7.6,0.6,0.1,0,0,0.2,0.2,12,14.7,"43.6",23.1,0.2,12.4,79.6
"10",1970,11.9,16.8,17.2,9.6,0.2,0,0,0,0.1,1.1,5.1,10.3,"43.4",27,0,6.3,72.3
"11",1971,10.5,9.7,10.2,4.8,2,0.2,0,0,0.1,2.2,11.6,5.1,"30.5",17.1,0.2,13.9,56.5
"12",1972,11.1,8.2,7.2,1.6,0.4,0.1,0,0,0.8,1.2,8.7,8.1,"24.4",9.2,0.1,10.7,47.5
"13",1973,9.7,12.9,8.8,5.8,1.5,0.1,0,0,0.1,3.1,11.8,13.9,"30.7",16.2,0.1,15,67.7
"14",1974,6.5,7.1,7.1,5.4,1.4,0.2,0,0,0.7,1.7,5,3.6,"27.5",13.9,0.2,7.4,38.7
"15",1975,6.5,10.2,11,5.6,2.2,0.4,0,0,0.4,1.3,9,8.6,"20.3",18.9,0.4,10.7,55.2
"16",1976,10.7,8.3,11.6,4.8,0.2,0,0,0,0.1,0.3,7.9,19.4,"27.6",16.6,0,8.4,63.4
"17",1977,17.2,8.3,5.2,6.2,1.8,0.2,0,0.1,0.1,0.2,6.5,4.5,"44.9",13.3,0.3,6.8,50.4
"18",1978,16.5,17.8,5.8,6.9,0.4,0.1,0,0,0,0.4,6,14.4,"38.8",13,0.1,6.4,68.2
"19",1979,25.9,22,11.8,4.1,4.9,0,0,0,0.6,1,7.7,8.7,"62.2",20.9,0,9.4,86.8
"20",1980,17.9,6.3,11.1,3.8,1.8,0,0,0,0,3.4,6.3,9.9,"33.0",16.7,0,9.7,60.6
