"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"1",1910,73.2,80.2,22.6,62.9,64.9,49.1,81.1,97.2,16.5,74.8,87.5,82.4,"---",150.4,227.4,178.7,792.4
"2",1911,45.5,43.9,57.7,35.9,29.4,100.4,18.1,63.2,63,73.8,99.2,113.6,"171.8",122.9,181.7,236,743.5
"3",1912,85.7,51.1,74.5,6,69.2,128.9,101.5,135.5,54.3,77.7,70.3,68.2,"250.4",149.7,365.8,202.2,922.7
"4",1913,94.4,26.7,90.2,74.4,60.5,34.9,23,32.4,57.7,83.2,58.6,40.8,"189.3",225.1,90.3,199.5,676.7
"5",1914,50.2,47.6,64.6,21.8,43.7,72.2,81.5,47.7,37.4,60.1,92.7,146.8,"138.6",130.1,201.3,190.2,766.2
"6",1915,77.9,91.7,43.1,23.3,46,17.1,119.3,77.5,35.6,37.6,60,153.4,"316.4",112.4,213.8,133.2,782.5
"7",1916,40.9,99.9,105.2,43.1,74.7,62.1,64.6,80,45.3,93.6,96.2,84.3,"294.2",222.9,206.8,235,889.8
"8",1917,89.4,24.9,52.7,60.7,47.2,42.5,36,170.7,33.3,86.3,47.2,50.6,"198.5",160.5,249.2,166.7,741.3
"9",1918,64.7,53.5,29.8,39.2,59.8,18.2,94.8,58,141.7,63,45.1,91.8,"168.9",128.7,171.1,249.8,759.5
"10",1919,93.5,54.6,83.8,48.1,26.1,28.3,57.6,69.5,39.7,107.3,88.6,100,"239.8",158.1,155.4,235.6,797.2
"11",1920,79.5,40.1,77.3,97.1,81.3,34.7,110,44.2,43.4,56.9,32.2,90.3,"219.7",255.7,188.9,132.6,787.2
"12",1921,98.5,6.7,37.4,29.2,45.7,12.3,35.8,114.8,27.7,52.3,56.7,64,"195.5",112.3,162.9,136.8,581.1
"13",1922,85.4,70.6,54,55.6,30.9,37.5,121.5,76.4,83,41.3,32.8,96.5,"220.0",140.5,235.4,157.1,785.5
"14",1923,45.1,111.3,43.2,47.6,68,22.4,72.9,97.9,67.2,69,97.9,78.5,"252.8",158.8,193.2,234.2,821
"15",1924,59.9,29,28.9,44.7,113,50.1,96,67.6,74.1,106,44.3,80.1,"167.4",186.6,213.7,224.3,793.7
"16",1925,53.6,90.2,44.4,71.8,87.2,4.2,40,70.2,83.5,72.5,68.7,91.8,"223.9",203.3,114.4,224.8,778.1
"17",1926,78.8,57.5,24.4,43.4,62.7,92.5,73.2,68.9,56.4,84.4,104.6,23.1,"228.1",130.5,234.6,245.5,770
"18",1927,56.1,35.5,59,56,39,84.6,90.4,142.8,119.8,63.4,85.1,74.1,"114.8",154.1,317.8,268.3,906
"19",1928,116.6,50.9,75.2,28.1,39.6,105.7,33.1,101.9,19.9,106.6,84.8,52.6,"241.6",142.9,240.7,211.3,815
"20",1929,52,26.2,6.3,32,34.8,40.4,65.8,68.3,23.2,77.6,104.6,130.9,"130.8",73.1,174.6,205.5,662.2
"21",1930,94.3,33.2,62.3,69.1,40.6,38.7,138.2,104.8,95.2,64.8,97.4,68.6,"258.3",172,281.8,257.4,907.1
"22",1931,67.1,60.5,27.5,86.7,71.6,99.7,108.4,101.4,85.5,36.6,88.6,37.2,"196.1",185.7,309.5,210.6,870.5
"23",1932,46.7,19.8,58.3,61.2,116.1,25.7,94.1,50.1,74.7,108,40.9,36.7,"103.7",235.7,170,223.6,732.5
"24",1933,51.1,95.3,52.2,34.5,54.8,49.3,50.2,23,51.3,108.7,77.7,26.4,"183.1",141.5,122.5,237.7,674.4
"25",1934,53.7,22,73.1,83,35.4,45.9,56.1,70.1,48,79.3,64.9,116.1,"102.1",191.5,172,192.2,747.5
"26",1935,58.2,82.2,22.3,74.6,20.8,70.6,17.1,56.4,116.5,111.7,117.2,62.9,"256.4",117.7,144.2,345.5,810.7
"27",1936,106,77.8,46.7,41.9,41.6,89.1,99.9,48.1,76.6,56.3,80.4,54.9,"246.8",130.1,237.1,213.3,819.3
"28",1937,92.7,91,81.5,73.2,87.5,37.7,65.4,41.1,42.3,64.1,47.9,111,"238.6",242.2,144.2,154.3,835.4
"29",1938,75.2,32.4,13.2,6.4,77.9,62.7,80.3,71.8,57.6,108.2,83.3,108.5,"218.7",97.5,214.8,249.2,777.6
"30",1939,125.4,38.1,72,41.3,33.6,67.1,92.8,66.4,37.3,117.8,96.1,49.3,"272.1",146.9,226.3,251.2,837.3
"31",1940,52.5,52.4,62.8,41.7,32,19.6,156.5,25.8,43,90.4,107.3,65.2,"154.2",136.5,201.9,240.6,749.2
"32",1941,83.8,113,79.7,34.5,46.8,18,68.7,84.8,17.2,96,82.5,20.9,"262.0",161.1,171.5,195.7,746.1
"33",1942,83.4,45.1,39.2,27.9,66.1,31.8,73.4,64.1,61.3,64.8,34.6,59.7,"149.5",133.3,169.2,160.7,651.4
"34",1943,101.9,27,20.9,33.9,76.5,55,37.5,89.8,82.8,56,67,34.3,"188.6",131.3,182.3,205.8,682.6
"35",1944,57,56.5,13.8,56.6,43.2,62.3,69.7,72,133.2,80.5,130.9,54.4,"147.9",113.5,204.1,344.6,830.1
"36",1945,107.8,59.1,20.6,45.4,73.1,66.1,45.6,81.4,48.1,88.7,22,46.8,"221.3",139.1,193.1,158.8,704.7
"37",1946,54.6,49.2,36.6,36.8,50.2,65,86.7,109.8,105.3,35.6,139.3,74.3,"150.6",123.6,261.4,280.2,843.2
"38",1947,65,72.6,123.6,82.8,42.9,71.9,66.1,7,41.8,17.8,62.2,58.2,"212.0",249.3,145,121.8,711.8
"39",1948,166.4,38.9,27.2,45.8,46.9,104.6,34.6,111,65.4,47.1,38.2,69.9,"263.5",119.9,250.1,150.7,795.9
"40",1949,32,29.8,30,53.9,38.2,22.2,60.9,55.8,33.4,95.3,96.8,79.2,"131.6",122.1,138.9,225.5,627.3
"41",1950,41.4,107.1,27.5,66.2,52.3,41,78.7,104.2,100.7,37.7,129.5,66.5,"227.7",146,223.9,267.8,852.8
"42",1951,63.5,76.4,91.4,48.7,99.5,33.2,44.5,127,40,34.1,151.7,73.9,"206.4",239.6,204.6,225.7,883.8
"43",1952,60.2,17.5,55.5,38.6,43.6,48.5,35.6,67.6,95.4,80.8,79.3,69.4,"151.6",137.6,151.8,255.5,691.9
"44",1953,27,51.1,13.1,68.1,57.7,68.9,68.3,84.5,51.4,50.3,55.2,33.4,"147.5",139,221.6,156.8,628.9
"45",1954,60.6,59.6,49.3,11.9,89,58,60.2,140.1,73.6,117.7,121.6,73.6,"153.6",150.2,258.4,313,915.3
"46",1955,57.8,65.1,55.2,25.5,71.5,63.6,28.5,22.9,34.7,51.9,43.3,87.4,"196.5",152.2,115.1,129.9,607.5
"47",1956,108.6,54.9,27.8,32.5,19.6,79.8,91.6,173.3,60.5,43.2,28.4,66.1,"250.9",79.8,344.7,132.1,786.2
"48",1957,57.2,68.6,44.1,11.4,40.8,49.2,93,102,95.8,57.2,52.1,62.3,"191.9",96.3,244.2,205,733.7
"49",1958,63.7,104.5,62.7,34.6,78.8,93.1,99.8,73,65.6,50.2,22.2,94.9,"230.5",176.1,265.8,138.1,843.2
"50",1959,69.8,11.1,36.8,61.8,14.2,44.2,51.6,16.2,13.9,54.1,105.2,112.1,"175.8",112.8,112,173.2,590.9
"51",1960,125.5,64.9,43.6,30.2,35,20.8,107.2,86.6,69.4,166.1,104.1,87.9,"302.5",108.7,214.6,339.6,941.3
"52",1961,97.5,43.9,19.8,67.5,38.8,39.4,74.8,77.6,55,91.6,43.7,72.9,"229.4",126.1,191.8,190.3,722.7
"53",1962,68.7,34.3,32.3,60.7,61.2,15.3,52.1,96.4,84,18.9,62.4,54.5,"176.0",154.2,163.9,165.4,640.9
"54",1963,45.2,38.1,63.8,54.2,38.9,80.5,49.3,116.5,53.3,41.5,123.5,30.6,"137.8",156.9,246.3,218.3,735.5
"55",1964,25.5,25.4,89.2,50.8,27.9,65.9,38.6,57.9,30.8,31.7,31.9,66.7,"81.5",167.9,162.4,94.5,542.4
"56",1965,75.1,28.9,56.7,64.5,55.4,48.9,79.9,65.7,132.9,30.6,131.9,95.9,"170.7",176.6,194.5,295.3,866.4
"57",1966,46.8,113.3,25.3,84.9,56.7,77.9,65.4,112.5,41.6,88.5,71,72.4,"256.0",166.9,255.8,201.2,856.4
"58",1967,38.7,72.4,42.2,42.1,125.4,36.9,61,80.5,64.1,117.7,79.9,49.6,"183.5",209.6,178.4,261.8,810.4
"59",1968,45.5,41.9,59.6,51.8,59.8,61.3,101.7,58.5,118.6,73.5,76.5,71.6,"137.0",171.2,221.5,268.6,820.3
"60",1969,74.7,66.2,74.7,66.4,85.4,70.1,53.2,47.7,50.3,16.8,124.9,65.5,"212.5",226.5,171,192,795.8
"61",1970,82.4,58.6,47.4,73.6,16.5,29.2,75.9,63.6,37.2,51,108.4,57.2,"206.5",137.6,168.8,196.5,701.1
"62",1971,64.6,24.1,61.7,50.9,42.5,61.4,43.8,115.9,19.7,40,74.7,29.7,"145.9",155.1,221.1,134.4,628.9
"63",1972,93,53.8,64.1,47.8,61.1,68.4,47.4,24.6,34.4,17.2,73.4,56,"176.5",173,140.5,125,641.3
"64",1973,33,23.2,14.9,65.5,66.3,55.7,102,58.8,60,46.4,27.3,50.2,"112.1",146.7,216.4,133.7,603.2
"65",1974,78.2,59.6,45.8,18.8,24.4,44.8,73.3,66.4,78.8,101.2,80.6,60.6,"188.1",89,184.5,260.6,732.5
"66",1975,72.1,23.5,62.8,64.6,49.4,27.7,59.6,54.2,64.6,26.8,49.5,45.9,"156.2",176.7,141.5,140.9,600.7
"67",1976,64.9,27.1,34.9,24.5,82.2,11.4,24.3,19.1,156,138.1,37.7,71.5,"137.9",141.7,54.8,331.8,691.8
"68",1977,95.3,99.8,58.4,43,50.6,75.4,19,62,28.3,46.7,84.6,69.3,"266.7",152.1,156.5,159.7,732.7
"69",1978,97.9,75.5,52.7,42.2,44,57.6,75.7,77.7,56.2,20.5,43.7,175.7,"242.7",138.9,211,120.4,819.5
"70",1979,61,47.5,116.9,48,109.4,32.5,31.9,85.4,35.8,64.6,75.8,121.7,"284.2",274.3,149.8,176.2,830.5
"71",1980,77.2,71,90.2,12.3,26.4,123.4,49.6,101.8,36.7,102.6,80.8,54.9,"269.9",129,274.7,220.1,826.8
"72",1981,40.1,47.6,122.8,70.5,58.9,36.5,54.8,42.6,102.9,92,59.2,57.8,"142.6",252.1,134,254.1,785.7
"73",1982,69,23.5,69.9,13.5,35.4,128.7,27.5,73.8,54.3,83.6,85.4,67.7,"150.3",118.8,230,223.3,732.3
"74",1983,59.8,46,59,98.3,97.6,33.9,37.5,25.3,77.9,56.2,38.7,105.1,"173.6",254.9,96.8,172.9,735.5
"75",1984,111.3,41.4,70,13.6,43.1,42.9,22.4,59.2,100.9,58.2,128.8,42,"257.8",126.7,124.5,287.9,733.7
"76",1985,78.3,7.9,65.2,61.1,71.1,61.1,77.3,93.3,51.8,31.9,78.7,83.6,"128.2",197.4,231.6,162.4,761.3
