"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"1",1961,17.1,10,4.3,13.9,7,7.1,9.5,13.9,10.4,16.5,10.6,12.1,"---",25.2,30.5,37.5,132.4
"2",1962,14,9,9.7,10.5,12.5,4.4,7.2,13,13.4,4.6,12.3,12.3,"35.1",32.6,24.6,30.3,122.9
"3",1963,10.2,8.7,12.9,13.4,10.9,12.9,10.3,16.2,8.5,9.1,18.8,8.4,"31.2",37.2,39.4,36.4,140.3
"4",1964,6.5,6.1,13.1,11.7,7.7,13,7.6,10.3,7.6,7.5,8.8,12.8,"21.0",32.5,30.9,24,112.8
"5",1965,15.7,8,10.5,13.3,12.2,9.6,13.2,11.5,15.6,5.3,18.1,17,"36.4",36.1,34.2,39,150
"6",1966,12.5,16.3,7,15.1,10.6,11.7,12.4,13.8,8.1,14.5,15.5,14.1,"45.8",32.6,37.9,38.1,151.5
"7",1967,9.8,11.1,9.2,8.9,20.8,5.8,8.3,11.5,12.6,15.6,10.6,11.5,"35.1",38.9,25.7,38.8,135.8
"8",1968,11.2,8.2,9.7,9.6,11.8,10.6,11.2,9.9,14.5,11.4,13.4,11,"30.9",31.1,31.6,39.3,132.5
"9",1969,11.7,13.8,11.9,12.2,16.9,9.2,7.5,9.7,7.3,5.6,15.4,13.7,"36.6",41,26.3,28.3,134.9
"10",1970,17.1,13.1,12.2,14.4,4.7,5.9,12.4,8,7.9,10,17.1,13.4,"43.9",31.3,26.3,35,136.1
"11",1971,12.6,5.9,12.2,5.8,9,11.5,6.4,12.6,5.1,7.3,11.9,7.9,"31.9",27,30.5,24.3,108.2
"12",1972,17.9,11.9,13.6,11.3,14.2,14.6,8.4,5.7,4.5,4.5,12.7,10.1,"37.7",39.1,28.6,21.8,129.4
"13",1973,7.8,6.2,4.3,12.2,12.5,6.7,11,9.2,9.8,10.1,6.3,9.8,"24.2",29,26.9,26.2,106
"14",1974,14.1,12.3,11.6,3.1,6.9,8.7,11.5,10.4,14.8,16,14.2,12.8,"36.2",21.6,30.6,45,136.4
"15",1975,15.2,5.6,13,14.7,7.3,5.2,10.6,5.9,12.2,5.2,12.1,7.1,"33.7",35,21.7,29.5,114.1
"16",1976,11,8,9.4,5.4,15,3.6,5.2,3.1,13.6,21.4,9.1,13.1,"26.0",29.8,11.9,44.1,118
"17",1977,14.2,16.4,13.7,12,8.2,10.7,5.7,10.7,7.2,9.2,15.5,11.1,"43.7",34,27.1,32,134.7
"18",1978,15.4,15.6,12.7,8.1,7,9.8,12.2,13.7,10.8,5.7,8.7,20.4,"42.1",27.7,35.7,25.2,140
"19",1979,11.2,8.4,16.2,13.5,16.5,7.4,5.9,13.1,6.7,10.9,11.8,18.2,"40.0",46.2,26.4,29.3,139.7
"20",1980,13.4,12.8,15,3.9,5,16,9.8,11.6,9.2,15.9,17.1,12.1,"44.4",23.9,37.5,42.3,142
"21",1981,12,7.1,19,9,13.4,9.2,9.4,5.6,12.7,14.3,11.4,10.4,"31.1",41.4,24.2,38.4,133.3
"22",1982,11.2,6.2,11.6,3.6,6.9,13.8,4.1,12.8,10.4,15.5,15.1,10.7,"27.7",22.1,30.6,41,121.8
"23",1983,12.3,10.2,13,14.8,16.8,6.2,5.1,4.4,12.1,11.7,7,14.6,"33.2",44.6,15.7,30.7,128.1
"24",1984,17.5,9.4,12.2,4.7,6.7,8.1,5.2,7.6,14.1,11.4,17.4,11.8,"41.6",23.6,20.9,42.9,126.1
"25",1985,17.4,2.6,13.5,12.4,10.7,13.1,12.9,16.1,8.5,5.2,16.1,14.7,"31.8",36.7,42.2,29.8,143.4
"26",1986,16.5,8.2,12.5,15.2,13.3,6.8,7.9,13.6,2.7,10.9,12.6,16.7,"39.4",41,28.3,26.2,136.9
"27",1987,8,9.3,12.4,8.4,10.9,16.7,11.3,11,9.2,14.4,11.8,9.4,"34.1",31.8,38.9,35.3,132.8
"28",1988,16.2,11.4,16,7.9,12,5.3,18.8,12.5,8.8,12.6,7.6,7.3,"37.1",35.9,36.6,29,136.4
"29",1989,6,9.7,13.2,14.1,4.3,8,5.5,8.7,5.2,12.5,6.9,11,"23.0",31.5,22.2,24.6,105
"30",1990,15.4,15,5.2,7,6.9,14.1,6.2,7.5,8.6,12.1,12.3,13.4,"41.4",19,27.9,33.1,123.7
"31",1991,11.4,11.9,11.1,8.6,4.2,15.4,8.1,5.2,7.7,10,12.4,6.8,"36.7",23.9,28.7,30.1,112.8
"32",1992,5.8,8.3,13.8,12.8,6.3,4.9,10.7,12.7,13.6,10.8,15.3,8.4,"21.0",32.9,28.4,39.7,123.6
"33",1993,14.8,4.9,5.1,12.8,9.7,9,12.3,10.3,12.5,11.1,9.8,17.5,"28.0",27.6,31.6,33.4,129.7
"34",1994,16,10.5,13.4,11.9,6.9,7.5,7.7,8.7,12.6,10.9,11.9,14.3,"44.0",32.2,23.8,35.4,132.2
"35",1995,14.4,14.1,12.9,5.6,9.9,7.6,6.2,3.2,13.4,7.1,12.1,12.4,"42.8",28.4,16.9,32.6,118.9
"36",1996,9.2,13.5,7.1,7.6,9.7,5.9,7.8,10.2,5.5,12.2,14.8,11.5,"35.1",24.4,23.9,32.6,115.1
"37",1997,5.1,13.7,6.9,5,10.8,16.7,11.3,10,6.4,8.1,14.8,15.2,"30.3",22.6,38,29.3,123.9
"38",1998,15,4,11.8,18.7,8.2,15,12.4,8.2,10.4,17.5,13.6,14,"34.2",38.7,35.6,41.4,148.7
"39",1999,16.2,7.5,14.6,10.6,11.2,12.3,5,11.8,11.6,9.5,10.4,16.7,"37.8",36.4,29,31.5,137.3
"40",2000,9.1,13.3,6.8,18,11.5,8.3,9.8,11.3,14.6,16,16.1,14.3,"39.1",36.3,29.4,46.7,149.1
"41",2001,9.6,12.3,11.2,16.4,6.1,8.2,8.8,13.3,14.3,14.1,10.6,11,"36.2",33.7,30.3,39,135.9
"42",2002,11.6,17.2,8.6,7,13.8,10.2,13.3,9.7,4.3,14.9,16.9,16.5,"39.8",29.3,33.2,36,143.8
"43",2003,16.4,5.4,5.6,6.9,14.4,10.4,10.1,3.6,6.8,8.9,12,10.9,"38.2",26.9,24,27.8,111.4
"44",2004,17.6,11.2,10.5,12.7,6.7,11.8,14.2,16.1,8.5,18.2,9.2,7.5,"39.8",29.9,42.1,35.8,144.2
"45",2005,11.6,12,9.6,12,10.7,9,7.8,10.9,9.5,12.4,12.2,10.9,"31.1",32.2,27.7,34.1,128.5
"46",2006,6.7,10.9,15.6,9.5,14.2,4.7,5.4,15.4,10.6,14.5,13.1,12.5,"28.5",39.3,25.5,38.2,133.1
"47",2007,15.5,14.7,8.3,2.4,12.5,14.4,15.5,7.2,8.2,5.1,10.9,11.2,"42.7",23.1,37.2,24.1,125.8
"48",2008,18.5,6.7,15.3,14.8,5.1,11.9,12.5,16.3,11.7,11.2,13.4,9.7,"36.4",35.1,40.6,36.4,147.2
"49",2009,12.9,8.2,7.7,5.7,11.1,8.3,16.1,11.7,4.9,11.4,18.8,18.5,"30.8",24.5,36,35.2,135.2
"50",2010,14.4,16.5,10.3,5.8,6.2,7.1,9.3,12.5,13.2,10.9,19.4,9.9,"49.5",22.2,28.9,43.5,135.5
"51",2011,10,14.3,4.3,2.6,9.7,12,10.2,14.1,9.2,12.7,8.3,15,"34.2",16.6,36.3,30.2,122.3
"52",2012,11.3,4.9,4.1,17.8,9.4,16.8,15,12.6,9.8,14.2,14.4,17.8,"31.2",31.3,44.5,38.4,148.2
"53",2013,14.3,6.8,11.1,6.4,12,8.3,7,8.8,8.2,18,10,12.7,"38.9",29.5,24.1,36.2,123.5
"54",2014,20.6,14.4,9.4,8.6,14.7,8.1,8,13.9,4.2,13.8,15.3,10.3,"47.7",32.8,30,33.3,141.4
"55",2015,12.4,8.4,9.4,7.5,13.6,6.9,14.5,11.4,7.8,9.3,17.4,18.2,"31.1",30.5,32.8,34.5,136.8
"56",2016,18.3,10.9,10.4,15.3,7.5,13.2,10,10.3,8.7,11.7,12.3,8.5,"47.4",33.2,33.5,32.8,137.2
"57",2017,9.9,12.6,10.4,5.4,7.9,12.1,15,10.1,16.3,9.7,10.8,11.3,"31.0",23.7,37.3,36.9,131.6
"58",2018,14.8,10.7,15.7,11,5.6,4.1,5.8,9.9,36.7,32.3,19.9,NA,"",NA,NA,NA,NA
