"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"1",1910,5,6.6,9.3,10.4,14,18,16.9,18.6,15.4,13.1,5.4,7.6,"---",11.27,17.86,11.35,11.75
"2",1911,5.8,7.1,6.7,10.5,16.5,18.1,22.4,21.5,17.8,11.8,8,7.3,"6.84",11.21,20.71,12.51,12.83
"3",1912,4.8,7,9.5,12.6,15.1,16.9,18.3,15.8,14.1,11.9,8,8.2,"6.34",12.4,17,11.34,11.86
"4",1913,5,7.2,8.3,10.6,14.7,18,17.3,19.1,17.2,13.2,10.2,6.4,"6.80",11.19,18.17,13.54,12.3
"5",1914,5.4,9.1,8.3,14.3,14.1,18.5,19.4,20,17.4,13,9.1,6.1,"6.93",12.22,19.29,13.16,12.91
"6",1915,5.3,6.1,8.1,11.3,13.4,18.2,18.2,18.9,16.8,11.9,5.8,6.3,"5.82",10.96,18.44,11.51,11.73
"7",1916,9.3,5.5,4.7,11.6,14.8,14.6,18.5,19.9,15.9,12.8,9.1,4.4,"7.09",10.36,17.67,12.58,11.77
"8",1917,2.8,3.4,5.7,8.4,15.6,19.1,19.9,18.6,17.4,10.5,10,4.6,"3.54",9.88,19.19,12.6,11.37
"9",1918,5.4,8,8.6,9,16.5,17.5,19.5,19.5,14.5,11.8,7.8,8,"5.93",11.39,18.85,11.39,12.21
"10",1919,4.2,3.9,5.7,10.8,16.9,18.4,17,19.5,16.6,11.3,5.1,6.5,"5.43",11.13,18.31,11.01,11.37
"11",1920,6.8,8.3,9.9,10.1,15.2,17.9,17.2,17,16.3,13.3,9.1,6.1,"7.17",11.74,17.35,12.88,12.26
"12",1921,8.6,7.2,10.2,11.9,15.8,18.3,21.8,18.1,17.9,16.2,6.5,8.8,"7.30",12.64,19.39,13.55,13.48
"13",1922,4.5,6,6.6,8.9,16.8,17.8,17,16.7,14.8,11.4,8.5,7.1,"6.44",10.79,17.13,11.57,11.36
"14",1923,7.8,6,8.7,9.7,12.1,15.5,20.6,18.5,15.8,11.9,5.8,4.8,"6.97",10.18,18.23,11.19,11.48
"15",1924,5.6,5.3,6.9,10.4,13.9,17.3,18.9,17.7,16,12.6,8.8,8.3,"5.23",10.4,17.98,12.5,11.84
"16",1925,6.8,6.8,7.6,10.4,14.8,18.1,20.9,19,14.5,13.3,5.9,4.4,"7.30",10.96,19.35,11.27,11.92
"17",1926,5.9,8,9,12.4,13,17,20.1,19.9,17.5,10.9,7.9,6.4,"6.02",11.47,19.02,12.09,12.36
"18",1927,6.3,6.8,9.7,11.1,13.5,15.5,18.4,18.9,15.1,13.2,8,3.2,"6.50",11.41,17.62,12.08,11.65
"19",1928,7,8,7.7,11.1,13,15.9,19.9,19,16.5,12.5,9.8,5.5,"6.00",10.58,18.32,12.91,12.16
"20",1929,3.3,1.9,11.2,9.4,15.1,17,20,18.7,19.2,12.3,8.9,6.8,"3.60",11.91,18.55,13.46,12.04
"21",1930,7.2,4.4,7.7,10.2,13.5,19,18.4,19.3,15.9,12.8,8.4,5.8,"6.21",10.48,18.9,12.38,11.93
"22",1931,5.2,5.4,6.5,10.5,14.5,16.9,18.6,16.9,14.6,12.4,9.4,7.1,"5.49",10.5,17.45,12.14,11.54
"23",1932,8.4,6.4,7.6,9.7,12.5,17,19.1,19.9,16.2,11.1,8.3,7.3,"7.30",9.95,18.67,11.86,11.97
