"","Year","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","WIN","SPR","SUM","AUT","ANN"
"1",1910,-0.7,0.6,1.5,1.9,5.3,8.7,9.3,10.4,7.6,6.9,-0.8,2.9,"---",2.87,9.47,4.59,4.49
"2",1911,0.6,0.8,1.3,3,6.5,8,10.6,11.6,7.6,4.8,2.4,2.1,"1.41",3.63,10.09,4.92,4.97
"3",1912,-0.1,0.9,2.7,2.5,5.9,8.9,10.7,8.3,6.6,3.3,2.5,1.9,"0.97",3.73,9.28,4.11,4.52
"4",1913,0.1,0.5,1.2,3,5.9,8.3,9.2,9.1,9,6.4,3.9,1.3,"0.84",3.33,8.86,6.43,4.83
"5",1914,0.1,2.4,1.4,3.3,5,8,10.5,10.1,7.3,6,2.8,0.9,"1.24",3.24,9.58,5.37,4.84
"6",1915,0.5,-0.2,0.5,2.1,4.2,7.5,9.2,9.7,7.8,4.6,-0.5,0.8,"0.44",2.28,8.82,3.95,3.88
"7",1916,3.2,-0.3,-0.4,2.5,5.5,6.5,9.6,10.5,7.7,5.3,3.1,-1.2,"1.25",2.56,8.88,5.39,4.36
"8",1917,-0.6,-2.7,-1.5,-0.2,5.6,8.4,9.9,10.9,8.8,2.4,4,-0.9,"-1.43",1.33,9.73,5.04,3.71
"9",1918,-0.9,2.1,1,2.1,6.5,6.9,9.4,10.6,6.6,5.1,0.9,2.3,"0.02",3.24,8.99,4.21,4.42
"10",1919,-0.6,-1.7,-0.9,2.1,6,8.1,8.7,9.6,7.1,2.8,-0.4,0.8,"0.03",2.37,8.79,3.17,3.48
"11",1920,0.5,1.1,2,3.4,5.7,8.1,9.4,8.5,7.5,5.7,3.1,0.8,"0.81",3.7,8.67,5.43,4.66
"12",1921,2.6,0.8,2.3,2.5,5,7.6,10.7,10.1,8.4,7.7,0.8,2.7,"1.40",3.28,9.51,5.63,5.13
"13",1922,-0.5,-0.2,0.6,0.3,6.3,7.5,8.4,8.4,7.1,4.2,1.9,2,"0.67",2.4,8.11,4.4,3.85
"14",1923,1.8,1.3,1.9,2.3,3.7,7,11.6,9.4,7,4.9,-0.3,-0.4,"1.71",2.65,9.4,3.88,4.22
"15",1924,0.4,0.1,-1.8,1.4,5.9,8.2,9.8,8.9,8.8,5.8,3.3,3.3,"0.02",1.82,9,5.96,4.52
"16",1925,1.2,0.6,0.9,2.1,6.1,8,10.7,10,6.4,5.5,-0.2,-1.2,"1.75",3.05,9.6,3.9,4.21
"17",1926,0.4,2.4,2,3.8,4.3,8.1,11.3,10.4,8.8,3.2,1.8,1.1,"0.49",3.35,9.96,4.58,4.81
"18",1927,0.7,0,2.6,2.7,4.4,6.4,10.3,10.3,7.8,5.5,2.1,-0.6,"0.59",3.2,9.04,5.13,4.37
"19",1928,0.8,1.2,1.4,2.6,4.7,6.9,10,9.9,7.1,5.2,3.6,-0.3,"0.45",2.92,8.94,5.3,4.43
"20",1929,-1.2,-3.4,0.2,1.2,4.8,7.4,9.9,9.7,8.9,4.7,2.1,1.7,"-1.61",2.11,9.03,5.25,3.89
"21",1930,1.1,-0.5,0.6,3.6,4.9,8.9,10.1,10.3,9,5.7,1.6,0.4,"0.80",3.02,9.79,5.45,4.68
"22",1931,-0.5,-0.2,-1.2,3,5.6,8.7,10.7,8.9,7.1,3.8,3.6,1.5,"-0.10",2.47,9.46,4.82,4.28
"23",1932,2,0.4,0.5,1.5,5.4,7.8,11.1,11.3,7.7,4.1,3.1,2.6,"1.34",2.48,10.08,4.95,4.81
"24",1933,-1.1,0.3,1.7,4,6.4,8.9,11.8,11.5,9.3,6.1,2.8,-0.1,"0.62",4.02,10.73,6.08,5.16
"25",1934,0.7,0.6,0.4,3,5.4,8.5,11.3,9.7,8.5,6.1,2.8,4.5,"0.39",2.95,9.83,5.8,5.16
"26",1935,1.2,1.9,2.5,3.1,3.9,9.2,10.7,10.7,8.1,4.7,2.8,-0.3,"2.55",3.17,10.22,5.21,4.89
"27",1936,-0.1,-1.7,2.5,1.4,5.5,8.4,10.8,10.5,10.2,4.9,1.6,1.1,"-0.68",3.13,9.92,5.55,4.61
"28",1937,1.2,0.9,-0.8,4.1,6.4,8.6,11.1,10.7,7.9,6,2.1,-0.3,"1.07",3.22,10.13,5.34,4.84
"29",1938,1.9,1.6,4.5,2.7,5.1,8.7,9.9,10.4,8.8,5.7,4.7,0.8,"1.03",4.09,9.68,6.41,5.42
"30",1939,0.4,1.6,1.7,3.3,5.6,7.9,10.3,11.2,9.6,4.3,4.1,0.6,"0.90",3.53,9.85,5.99,5.07
"31",1940,-4.9,-1.3,1.3,2.8,5.9,9.3,9.6,9.4,7,5.5,2.9,0.8,"-1.86",3.35,9.46,5.15,4.05
"32",1941,-2.4,-1.2,0.1,2.1,3.8,8.5,11.3,9.7,9.9,6,2.4,1.9,"-0.93",2.01,9.84,6.08,4.37
"33",1942,-2.1,-3.1,0.1,2.9,5,8,9.7,11.3,8.4,6.1,1.9,2.6,"-1.05",2.67,9.69,5.45,4.27
"34",1943,0.7,1.6,1.6,5,5.3,8.8,9.7,10.3,8,5.9,2.4,0.7,"1.61",3.97,9.61,5.43,5.02
"35",1944,1.9,0.4,0.7,4.3,5.2,7.8,11.2,11.2,7.2,5,2,0.4,"1.00",3.4,10.09,4.74,4.79
"36",1945,-3,2.8,3.1,3.9,5.9,8.9,11.4,10.2,9.2,6.7,4.5,1.3,"-0.01",4.29,10.17,6.79,5.41
"37",1946,-0.5,1.8,0.6,4,4.8,7.6,10.7,9.3,8.9,6.1,4.3,-0.1,"0.84",3.14,9.18,6.45,4.8
"38",1947,-0.8,-3.8,-1.5,3.4,6.5,9.8,11.6,11.4,9.1,6.4,2.4,1.7,"-1.50",2.81,10.95,5.96,4.75
"39",1948,1.2,1.1,2.4,3.2,4.6,7.9,10.1,9.9,8.9,5.3,3,1.7,"1.37",3.4,9.32,5.7,4.95
"40",1949,1.1,0.9,0.5,4.7,4.8,7.8,10.8,10.7,10.8,6.9,2.7,2.1,"1.22",3.32,9.78,6.77,5.32
"41",1950,1.1,0.6,2.4,2,5.7,9.6,10.6,10.2,8,5.5,2,-1.8,"1.29",3.37,10.13,5.19,4.69
"42",1951,-0.2,-0.3,-0.3,1.6,4.6,7.4,10.6,9.9,9,5.2,4.5,1,"-0.76",1.95,9.3,6.19,4.43
"43",1952,-1.3,-0.7,2.1,3.4,6.9,8.6,11,10.6,6.5,4.8,0.6,-0.4,"-0.33",4.15,10.07,3.98,4.37
"44",1953,0.7,1,0.5,1.6,6.9,8.9,10.4,10.4,9,4.9,4.7,3.6,"0.40",3.02,9.89,6.18,5.23
"45",1954,-0.4,-1.7,1.2,2.3,5.9,8.6,9.2,9.7,7.2,7.4,2.8,2.8,"0.55",3.16,9.19,5.79,4.62
"46",1955,-0.9,-2.9,-1.4,4,3.9,7.7,10.7,11.7,8.8,4.4,3.9,1.1,"-0.24",2.14,10.08,5.64,4.29
"47",1956,-0.5,-3.6,1.3,0.8,5.5,7.6,10.8,8.4,9.2,5.1,2.6,2.5,"-0.94",2.53,8.96,5.63,4.17
"48",1957,1.5,0.1,4.2,3,4.4,7.8,11.5,10.5,7.8,6.1,3.4,0.6,"1.42",3.87,9.97,5.75,5.12
"49",1958,-1.2,-0.2,-0.9,2.1,5.3,8.1,10.5,10.7,9.9,6.1,2.3,1,"-0.25",2.17,9.78,6.11,4.51
"50",1959,-2.7,0.9,2.7,4.1,5.8,8.9,10.9,11.2,8.3,7.1,2.9,2.2,"-0.29",4.19,10.32,6.11,5.21
"51",1960,0.3,-0.4,2.2,3.7,6.6,9.3,9.8,9.8,8.4,6.8,2.8,0.6,"0.73",4.18,9.61,6.01,5.01
"52",1961,-0.2,2.6,3.3,4.7,5.5,8.7,9.8,9.7,9.6,6.1,2.3,-1.8,"0.97",4.51,9.41,6.04,5.05
"53",1962,0.1,0.6,-1.9,2.5,5.2,7.6,9.3,9.3,8.1,6,1.5,-2.3,"-0.38",1.93,8.74,5.18,3.84
"54",1963,-3.9,-4.5,1.1,3.5,4.9,9,9.2,9.3,7.7,6.2,3.9,-0.1,"-3.54",3.19,9.17,5.91,3.9
"55",1964,-0.1,0.8,0.9,4.3,7.2,8.7,10.3,9.9,8,4,3,-1,"0.19",4.11,9.63,5,4.67
"56",1965,-0.4,0.5,-0.2,2.7,6.1,8.7,8.7,9.1,8.2,6.3,0.6,-0.1,"-0.31",2.86,8.86,5.07,4.22
"57",1966,-0.3,1.2,2,2.5,5.3,9.7,9.5,9.6,9.1,5.9,1.8,0.7,"0.23",3.29,9.61,5.59,4.76
"58",1967,0.5,1.7,2.9,3.2,5,7.9,10.9,10.4,8.9,6.3,1.1,0.2,"0.95",3.7,9.78,5.43,4.95
"59",1968,0.3,-1.7,1.8,2.5,4.4,8.7,9.8,10.4,9.1,8.4,3.6,0.1,"-0.35",2.92,9.65,7.04,4.81
"60",1969,1.6,-2.8,-0.4,1.8,6,7.7,11,11.3,9.1,8.2,0.8,-0.1,"-0.30",2.46,10.01,6.06,4.56
"61",1970,-0.1,-1.4,-0.7,1.9,6.7,9.2,10.3,10.7,9.4,5.8,2.9,1.2,"-0.53",2.66,10.06,6.02,4.69
"62",1971,0.9,0.7,1.2,2.9,5.4,7.4,10.6,10.5,8.6,6.3,1.9,3.3,"0.93",3.15,9.52,5.63,5.01
"63",1972,0.7,0.8,1.4,3.9,5.8,7,9.7,9.5,6.7,5.8,2.2,1.4,"1.62",3.67,8.79,4.9,4.59
"64",1973,1.2,0.2,1.5,2,5.9,9.2,10.6,10.3,8.9,4.7,1.2,0.3,"0.95",3.16,10.04,4.92,4.69
"65",1974,1.6,1.7,1.3,2.3,5.3,7.9,9.7,9.6,7.2,3.9,2.4,3.8,"1.20",2.95,9.08,4.51,4.75
"66",1975,2.3,0.6,0.7,3.6,4.1,7.6,11.4,12.2,7.9,5.3,1.8,1.6,"2.29",2.8,10.42,5,4.96
"67",1976,1.9,1.3,0.8,3.2,6.4,10.1,10.9,10.1,8.7,6.7,1.8,-1.2,"1.63",3.45,10.35,5.74,5.07
"68",1977,-1.1,0.7,2.5,2.4,4.8,7.2,10.1,10.1,8.6,7.3,2.5,2.7,"-0.54",3.25,9.16,6.11,4.84
"69",1978,-0.8,-1.8,2.2,2,5.6,8.2,9.4,10.2,9.4,7.6,4.3,0.3,"0.07",3.26,9.3,7.08,4.74
"70",1979,-4,-1.9,0.6,3,4.6,8.6,10.3,9.7,8,6.8,2.1,2,"-1.88",2.73,9.53,5.67,4.18
"71",1980,-0.9,1.8,0.4,3.2,4.7,8.9,9.5,10.6,9.9,4.3,3.4,1.7,"0.92",2.77,9.67,5.88,4.8
"72",1981,0.5,-0.4,3.3,2.8,6.1,8.6,10.3,10.6,9.3,3.4,3.3,-4.1,"0.65",4.11,9.82,5.31,4.5
"73",1982,-1.9,1,1.4,3.1,5.1,9.9,10.8,10.7,8.7,6.1,4,-0.1,"-1.78",3.18,10.47,6.27,4.91
"74",1983,2.5,-1.6,2.5,1.7,5.4,8.4,12,11.1,8.9,5.8,3.9,1.9,"0.33",3.2,10.52,6.2,5.26
"75",1984,-0.7,-0.1,1.3,1.8,4.1,8.8,10.1,11.1,9.3,6.4,4.9,1.5,"0.38",2.4,10.02,6.84,4.89
"76",1985,-2.1,-1.3,0.3,3.6,5.7,7.2,10.7,9.9,9.3,6.9,0,2.5,"-0.61",3.21,9.26,5.4,4.42
"77",1986,-0.4,-3.6,0.5,1.4,6.2,8.5,10.5,8.7,5.9,5.9,3.5,1.8,"-0.42",2.75,9.23,5.11,4.13
